央视,#genre#
BesTV星光影院,http://171.35.85.132:6005/udp/239.252.220.127:5140
BesTV全球大片,http://171.35.85.132:6005/udp/239.252.220.128:5140
BesTV健康养生,http://171.35.85.132:6005/udp/239.252.220.129:5140
甘肃卫视,http://171.35.85.132:6005/udp/239.252.219.140:5140
海南卫视,http://171.35.85.132:6005/udp/239.252.219.178:5140
广西卫视,http://171.35.85.132:6005/udp/239.252.219.183:5140
云南卫视,http://171.35.85.132:6005/udp/239.252.219.185:5140
天津卫视,http://171.35.85.132:6005/udp/239.252.219.187:5140
天津卫视,http://171.35.85.132:6005/udp/239.252.220.61:5140
湖南卫视,http://171.35.85.132:6005/udp/239.252.219.201:5140
北京卫视,http://171.35.85.132:6005/udp/239.252.219.206:5140
湖北卫视,http://171.35.85.132:6005/udp/239.252.219.208:5140
浙江卫视,http://171.35.85.132:6005/udp/239.252.219.210:5140
黑龙江卫视,http://171.35.85.132:6005/udp/239.252.219.211:5140
深圳卫视,http://171.35.85.132:6005/udp/239.252.219.212:5140
广东卫视,http://171.35.85.132:6005/udp/239.252.219.213:5140
江苏卫视,http://171.35.85.132:6005/udp/239.252.219.214:5140
山东卫视,http://171.35.85.132:6005/udp/239.252.219.228:5140
东方卫视,http://171.35.85.132:6005/udp/239.252.219.229:5140
辽宁卫视,http://171.35.85.132:6005/udp/239.252.220.62:5140
江西卫视,http://171.35.85.132:6005/udp/239.252.220.63:5140
东南卫视,http://171.35.85.132:6005/udp/239.252.220.82:5140
安徽卫视,http://171.35.85.132:6005/udp/239.252.220.83:5140
四川卫视,http://171.35.85.132:6005/udp/239.252.220.93:5140
重庆卫视,http://171.35.85.132:6005/udp/239.252.220.94:5140
河北卫视,http://171.35.85.132:6005/udp/239.252.220.154:5140
吉林卫视,http://171.35.85.132:6005/udp/239.252.220.188:5140
贵州卫视,http://171.35.85.132:6005/udp/239.252.220.190:5140
河南卫视,http://171.35.85.132:6005/udp/239.252.220.189:5140
中国教育,http://171.35.85.132:6005/udp/239.252.220.198:5140
上海纪实,http://171.35.85.132:6005/udp/239.252.219.227:5140
金鹰纪实,http://171.35.85.132:6005/udp/239.252.220.155:5140
东方财经,http://171.35.85.132:6005/udp/239.252.219.57:5140
茶频道台,http://171.35.85.132:6005/udp/239.252.220.160:5140
快乐垂钓,http://171.35.85.132:6005/udp/239.252.220.177:5140
IPTV体育,http://171.35.85.132:6005/udp/239.252.220.211:5140
